Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Cedar County, MO",29039,5723
"Cedar County, NE",31027,3418
"Ceiba Municipio, PR",72037,4081
"Centre County, PA",42027,58623
"Cerro Gordo County, IA",19033,18963
"Chaffee County, CO",8015,8379
"Chambers County, AL",1017,13218
"Chambers County, TX",48071,14402
"Champaign County, IL",17019,83491
"Champaign County, OH",39021,14999
"Chariton County, MO",29041,2568
"Charles City County, VA",51036,2887
"Charles County, MD",24017,57913
"Charles Mix County, SD",46023,3141
"Charleston County, SC",45019,163816
"Charlevoix County, MI",26029,11864
"Charlotte County, FL",12015,79468
"Charlotte County, VA",51037,4529
"Charlottesville city, VA",51540,19048
"Charlton County, GA",13049,3664
"Chase County, KS",20017,1003
"Chase County, NE",31029,1680
"Chatham County, GA",13051,109870
"Chatham County, NC",37037,30069
"Chattahoochee County, GA",13053,2524
"Chattooga County, GA",13055,9057
"Chautauqua County, KS",20019,1381
"Chautauqua County, NY",36013,52414
"Chaves County, NM",35005,23058
"Cheatham County, TN",47021,15280
"Cheboygan County, MI",26031,11204
"Chelan County, WA",53007,28688
"Chemung County, NY",36015,33253
"Chenango County, NY",36017,21345
"Cherokee County, AL",1019,10286
"Cherokee County, GA",13057,91825
"Cherokee County, IA",19035,5272
"Cherokee County, KS",20021,7945
"Cherokee County, NC",37039,13285
"Cherokee County, OK",40021,16745
"Cherokee County, SC",45021,20542
"Cherokee County, TX",48073,18256
"Cherry County, NE",31031,2482
"Chesapeake city, VA",51550,85797
"Cheshire County, NH",33005,29942
"Chester County, PA",42029,192258
"Chester County, SC",45023,12570
"Chester County, TN",47023,5985
"Chesterfield County, SC",45025,17882
"Chesterfield County, VA",51041,127578
"Cheyenne County, CO",8017,771
"Cheyenne County, KS",20023,1199
"Cheyenne County, NE",31033,4402
"Chickasaw County, IA",19037,5098
"Chickasaw County, MS",28017,6348
"Chicot County, AR",5017,3927
"Childress County, TX",48075,2215
"Chilton County, AL",1021,17091
"Chippewa County, MI",26033,14003
"Chippewa County, MN",27023,5158
"Chippewa County, WI",55017,25928
"Chisago County, MN",27025,20389
"Chittenden County, VT",50007,67037
"Choctaw County, AL",1023,5139
"Choctaw County, MS",28019,3143
"Choctaw County, OK",40023,6012
"Chouteau County, MT",30015,2257
"Chowan County, NC",37041,6120
"Christian County, IL",17021,13771
"Christian County, KY",21047,25623
"Christian County, MO",29043,32258
"Churchill County, NV",32001,10032
"Ciales Municipio, PR",72039,5822
"Cibola County, NM",35006,8999
"Cidra Municipio, PR",72041,12229
"Cimarron County, OK",40025,954
"Citrus County, FL",12017,64650
"Clackamas County, OR",41005,159994
"Claiborne County, MS",28021,2805
"Claiborne County, TN",47025,13556
"Claiborne Parish, LA",22027,5923
"Clallam County, WA",53009,33806
"Clare County, MI",26035,11640
"Clarendon County, SC",45027,13291
"Clarion County, PA",42031,16007
"Clark County, AR",5019,8341
