Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Lincoln County, MS",28085,12434
"Lincoln County, MT",30053,7822
"Lincoln County, NC",37109,33970
"Lincoln County, NE",31111,14818
"Lincoln County, NM",35027,7139
"Lincoln County, NV",32017,2130
"Lincoln County, OK",40081,12481
"Lincoln County, OR",41041,21576
"Lincoln County, SD",46083,20404
"Lincoln County, TN",47103,13510
"Lincoln County, WA",53043,4604
"Lincoln County, WI",55069,12665
"Lincoln County, WV",54043,8127
"Lincoln County, WY",56023,7084
"Lincoln Parish, LA",22061,17855
"Linn County, IA",19113,91704
"Linn County, KS",20107,4623
"Linn County, MO",29115,5227
"Linn County, OR",41043,48451
"Lipscomb County, TX",48295,1234
"Litchfield County, CT",9005,73661
"Little River County, AR",5081,5493
"Live Oak County, TX",48297,3716
"Livingston County, IL",17105,14096
"Livingston County, KY",21139,3965
"Livingston County, MI",26093,72990
"Livingston County, MO",29117,6014
"Livingston County, NY",36051,24155
"Livingston Parish, LA",22063,49034
"Llano County, TX",48299,8549
"Logan County, AR",5083,8225
"Logan County, CO",8075,8465
"Logan County, IL",17107,10861
"Logan County, KS",20109,1089
"Logan County, KY",21141,10241
"Logan County, ND",38047,851
"Logan County, NE",31113,335
"Logan County, OH",39091,18584
"Logan County, OK",40083,15777
"Logan County, WV",54045,13676
"Long County, GA",13183,6088
"Lonoke County, AR",5085,27430
"Lorain County, OH",39093,120871
"Los Alamos County, NM",35028,7852
"Los Angeles County, CA",6037,3321595
"Loudon County, TN",47105,20645
"Loudoun County, VA",51107,135613
"Louisa County, IA",19115,4347
"Louisa County, VA",51109,14315
"Loup County, NE",31115,305
"Love County, OK",40085,3257
"Loving County, TX",48301,21
"Lowndes County, AL",1085,4198
"Lowndes County, GA",13185,41841
"Lowndes County, MS",28087,21869
"Loíza Municipio, PR",72087,8354
"Lubbock County, TX",48303,115689
"Lucas County, IA",19117,3680
"Lucas County, OH",39095,179422
"Luce County, MI",26095,2104
"Lumpkin County, GA",13187,11816
"Luna County, NM",35029,8908
"Lunenburg County, VA",51111,4139
"Luquillo Municipio, PR",72089,6404
"Luzerne County, PA",42079,127752
"Lycoming County, PA",42081,45428
"Lyman County, SD",46085,1401
"Lynchburg city, VA",51680,27847
"Lynn County, TX",48305,2118
"Lyon County, IA",19119,4538
"Lyon County, KS",20111,13682
"Lyon County, KY",21143,3357
"Lyon County, MN",27083,10059
"Lyon County, NV",32019,21784
"Mackinac County, MI",26097,5276
"Macomb County, MI",26099,347794
"Macon County, AL",1087,7221
"Macon County, GA",13193,4657
"Macon County, IL",17115,43032
"Macon County, MO",29121,5603
"Macon County, NC",37113,16012
"Macon County, TN",47111,9363
"Macoupin County, IL",17117,18549
"Madera County, CA",6039,45657
"Madison County, AL",1089,152003
"Madison County, AR",5087,6171
"Madison County, FL",12079,6827
"Madison County, GA",13195,10973
"Madison County, IA",19121,6512
"Madison County, ID",16065,11163
"Madison County, IL",17119,107320
"Madison County, IN",18095,50788
"Madison County, KY",21151,33936
"Madison County, MO",29123,5238
"Madison County, MS",28089,40822
"Madison County, MT",30057,3658
"Madison County, NC",37115,8383
"Madison County, NE",31119,14309
"Madison County, NY",36053,25604
"Madison County, OH",39097,15047
"Madison County, TN",47113,38410
"Madison County, TX",48313,4323
"Madison County, VA",51113,5005
"Madison Parish, LA",22065,3756
"Magoffin County, KY",21153,5073
"Mahaska County, IA",19123,8755
"Mahnomen County, MN",27087,1900
"Mahoning County, OH",39099,98031
"Major County, OK",40093,3121
"Malheur County, OR",41045,9896
"Manassas Park city, VA",51685,4606
"Manassas city, VA",51683,12947
"Manatee County, FL",12081,151063
"Manatí Municipio, PR",72091,14290
"Manistee County, MI",26101,9048
"Manitowoc County, WI",55071,34651
"Marathon County, WI",55073,56053
"Marengo County, AL",1091,6968
"Maricao Municipio, PR",72093,1851
"Maricopa County, AZ",4013,1588606
"Maries County, MO",29125,3740
"Marin County, CA",6041,105483
"Marinette County, WI",55075,18633
"Marion County, AL",1093,11673
"Marion County, AR",5089,6756
"Marion County, FL",12083,141621
"Marion County, GA",13197,3540
"Marion County, IA",19125,13552
"Marion County, IL",17121,15941
"Marion County, IN",18097,373341
"Marion County, KS",20115,4838
"Marion County, KY",21155,7402
"Marion County, MO",29127,11570
"Marion County, MS",28091,9315
"Marion County, OH",39101,24596
"Marion County, OR",41047,118947
"Marion County, SC",45067,11242
"Marion County, TN",47115,11526
"Marion County, TX",48315,4723
"Marion County, WV",54049,23061
"Mariposa County, CA",6043,7706
"Marlboro County, SC",45069,9279
"Marquette County, MI",26103,26299
"Marquette County, WI",55077,6765
"Marshall County, AL",1095,34804
"Marshall County, IA",19127,15288
"Marshall County, IL",17123,4809
"Marshall County, IN",18099,17188
"Marshall County, KS",20117,3931
"Marshall County, KY",21157,13503
"Marshall County, MN",27089,3921
"Marshall County, MS",28093,12715
"Marshall County, OK",40095,6410
"Marshall County, SD",46091,1945
"Marshall County, TN",47117,12413
"Marshall County, WV",54051,11281
"Martin County, FL",12085,65230
"Martin County, IN",18101,4168
"Martin County, KY",21159,4027
"Martin County, MN",27091,8589
"Martin County, NC",37117,9471
"Martin County, TX",48317,1691
"Martinsville city, VA",51690,5363
"Mason County, IL",17125,5892
"Mason County, KY",21161,6643
"Mason County, MI",26105,12025
"Mason County, TX",48319,1652
"Mason County, WA",53045,24678
"Mason County, WV",54053,11036
"Massac County, IL",17127,5858
"Matagorda County, TX",48321,13869
"Matanuska-Susitna Borough, AK",2170,31018
"Mathews County, VA",51115,3962
"Maui County, HI",15009,54663
"Maunabo Municipio, PR",72095,3694
"Maury County, TN",47119,35217
"Maverick County, TX",48323,16453
"Mayagüez Municipio, PR",72097,29236
"Mayes County, OK",40097,16026
"McClain County, OK",40087,14982
"McCone County, MT",30055,701
"McCook County, SD",46087,2193
"McCormick County, SC",45065,3952
"McCracken County, KY",21145,27718
"McCreary County, KY",21147,5994
"McCulloch County, TX",48307,3192
"McCurtain County, OK",40089,12554
"McDonald County, MO",29119,8096
"McDonough County, IL",17109,10774
"McDowell County, NC",37111,18409
"McDowell County, WV",54047,7261
"McDuffie County, GA",13189,8143
"McHenry County, IL",17111,113310
"McHenry County, ND",38049,2614
"McIntosh County, GA",13191,6583
"McIntosh County, ND",38051,1311
"McIntosh County, OK",40091,8354
"McKean County, PA",42083,16961
"McKenzie County, ND",38053,4716
"McKinley County, NM",35031,21970
"McLean County, IL",17113,66010
"McLean County, KY",21149,3855
"McLean County, ND",38055,4394
"McLennan County, TX",48309,91212
"McLeod County, MN",27085,14642
"McMinn County, TN",47107,21021
"McMullen County, TX",48311,229
"McNairy County, TN",47109,10091
"McPherson County, KS",20113,12547
"McPherson County, NE",31117,194
"McPherson County, SD",46089,1034
"Meade County, KS",20119,1678
"Meade County, KY",21163,10679
"Meade County, SD",46093,11283
"Meagher County, MT",30059,695
"Mecklenburg County, NC",37119,424511
"Mecklenburg County, VA",51117,11577
"Mecosta County, MI",26107,15928
"Medina County, OH",39103,69686
"Medina County, TX",48325,15961
"Meeker County, MN",27093,9194
"Meigs County, OH",39105,8971
"Meigs County, TN",47121,5067
"Mellette County, SD",46095,651
"Menard County, IL",17129,5218
"Menard County, TX",48327,1043
"Mendocino County, CA",6045,33956
"Menifee County, KY",21165,2752
"Menominee County, MI",26109,10562
"Menominee County, WI",55078,1545
"Merced County, CA",6047,80490
"Mercer County, IL",17131,6502
"Mercer County, KY",21167,8358
"Mercer County, MO",29129,1157
"Mercer County, ND",38057,3717
"Mercer County, NJ",34021,128883
"Mercer County, OH",39107,16239
"Mercer County, PA",42085,46383
"Mercer County, WV",54055,24762
"Meriwether County, GA",13199,8123
"Merrick County, NE",31121,3349
"Merrimack County, NH",33013,58870
"Mesa County, CO",8077,62615
"Metcalfe County, KY",21169,4073
"Miami County, IN",18103,13809
"Miami County, KS",20121,12897
"Miami County, OH",39109,40650
"Miami-Dade County, FL",12086,893788
"Middlesex County, CT",9007,67096
"Middlesex County, MA",25017,609390
"Middlesex County, NJ",34023,284347
"Middlesex County, VA",51119,4675
"Midland County, MI",26111,34244
"Midland County, TX",48329,58659
"Mifflin County, PA",42087,19176
"Milam County, TX",48331,9188
"Millard County, UT",49027,4404
"Mille Lacs County, MN",27095,10300
"Miller County, AR",5091,16283
"Miller County, GA",13201,2301
"Miller County, MO",29131,10315
"Mills County, IA",19129,5660
"Mills County, TX",48333,1720
"Milwaukee County, WI",55079,379466
"Miner County, SD",46097,931
"Mineral County, CO",8079,370
"Mineral County, MT",30061,1881
"Mineral County, NV",32021,1973
"Mineral County, WV",54057,10855
"Mingo County, WV",54059,10459
"Minidoka County, ID",16067,7322
"Minnehaha County, SD",46099,79668
"Missaukee County, MI",26113,6166
"Mississippi County, AR",5093,16260
"Mississippi County, MO",29133,4933
"Missoula County, MT",30063,50357
"Mitchell County, GA",13205,7781
"Mitchell County, IA",19131,4354
"Mitchell County, KS",20123,2529
"Mitchell County, NC",37121,6342
"Mitchell County, TX",48335,2188
"Mobile County, AL",1097,156339
"Moca Municipio, PR",72099,14031
"Modoc County, CA",6049,3544
"Moffat County, CO",8081,5429
"Mohave County, AZ",4015,89508
"Moniteau County, MO",29135,5282
"Monmouth County, NJ",34025,234160
"Mono County, CA",6051,4713
"Monona County, IA",19133,3979
"Monongalia County, WV",54061,40210
"Monroe County, AL",1099,7967
"Monroe County, AR",5095,3311
"Monroe County, FL",12087,33356
"Monroe County, GA",13207,9830
"Monroe County, IA",19135,3256
"Monroe County, IL",17133,13858
"Monroe County, IN",18105,56139
"Monroe County, KY",21171,4460
"Monroe County, MI",26115,59961
"Monroe County, MO",29137,3787
"Monroe County, MS",28095,13944
"Monroe County, NY",36055,300709
"Monroe County, OH",39111,5672
"Monroe County, PA",42089,56726
"Monroe County, TN",47123,18180
"Monroe County, WI",55081,17841
"Monroe County, WV",54063,5643
"Montague County, TX",48337,7705
"Montcalm County, MI",26117,24093
"Monterey County, CA",6053,126685
"Montezuma County, CO",8083,10776
"Montgomery County, AL",1101,89166
"Montgomery County, AR",5097,3695
"Montgomery County, GA",13209,3020
"Montgomery County, IA",19137,4534
"Montgomery County, IL",17135,11588
"Montgomery County, IN",18107,15542
"Montgomery County, KS",20125,13604
"Montgomery County, KY",21173,10633
"Montgomery County, MD",24031,371918
"Montgomery County, MO",29139,5011
"Montgomery County, MS",28097,4776
"Montgomery County, NC",37123,10109
"Montgomery County, NY",36057,19738
"Montgomery County, OH",39113,223718
"Montgomery County, PA",42091,317917
"Montgomery County, TN",47125,75092
"Montgomery County, TX",48339,210550
"Montgomery County, VA",51121,35571
"Montmorency County, MI",26119,4512
"Montour County, PA",42093,7432
"Montrose County, CO",8085,17323
"Moody County, SD",46101,2611
"Moore County, NC",37125,40831
"Moore County, TN",47127,2689
"Moore County, TX",48341,6524
"Mora County, NM",35033,1634
"Morehouse Parish, LA",22067,9269
"Morgan County, AL",1103,45179
"Morgan County, CO",8087,10965
"Morgan County, GA",13211,7016
"Morgan County, IL",17137,13612
"Morgan County, IN",18109,26095
"Morgan County, KY",21175,4950
"Morgan County, MO",29141,7461
"Morgan County, OH",39115,6154
"Morgan County, TN",47129,7727
"Morgan County, UT",49029,3517
"Morgan County, WV",54065,7053
"Morovis Municipio, PR",72101,9790
"Morrill County, NE",31123,1954
"Morris County, KS",20127,2183
"Morris County, NJ",34027,181163
"Morris County, TX",48343,5124
"Morrison County, MN",27097,13433
"Morrow County, OH",39117,12847
"Morrow County, OR",41049,4205
"Morton County, KS",20129,985
"Morton County, ND",38059,14375
"Motley County, TX",48345,499
"Moultrie County, IL",17139,6014
"Mountrail County, ND",38061,3385
"Mower County, MN",27099,15565
"Muhlenberg County, KY",21177,11187
"Multnomah County, OR",41051,331731
"Murray County, GA",13213,14176
"Murray County, MN",27101,3621
"Murray County, OK",40099,5216
"Muscatine County, IA",19139,16668
"Muscogee County, GA",13215,72644
"Muskegon County, MI",26121,66252
"Muskingum County, OH",39119,33657
"Muskogee County, OK",40101,25976
"Musselshell County, MT",30065,2269
"Nacogdoches County, TX",48347,23664
"Naguabo Municipio, PR",72103,7714
"Nance County, NE",31125,1539
"Nantucket County, MA",25019,3574
"Napa County, CA",6055,48136
"Naranjito Municipio, PR",72105,8281
"Nash County, NC",37127,36770
"Nassau County, FL",12089,34463
"Nassau County, NY",36059,446255
"Natchitoches Parish, LA",22069,14710
"Natrona County, WY",56025,33153
"Navajo County, AZ",4017,35092
"Navarro County, TX",48349,17110
"Nelson County, KY",21179,18046
"Nelson County, ND",38063,1433
"Nelson County, VA",51125,6507
"Nemaha County, KS",20131,3861
"Nemaha County, NE",31127,2908
"Neosho County, KS",20133,6703
"Neshoba County, MS",28099,10609
"Ness County, KS",20135,1226
"Nevada County, AR",5099,3279
"Nevada County, CA",6057,40486
"New Castle County, DE",10003,205739
"New Hanover County, NC",37129,98656
"New Haven County, CT",9009,330772
"New Kent County, VA",51127,8207
"New London County, CT",9011,107959
"New Madrid County, MO",29143,7338
"New York County, NY",36061,759434
"Newaygo County, MI",26123,19620
"Newberry County, SC",45071,15143
"Newport County, RI",44005,34884
"Newport News city, VA",51700,69134
"Newton County, AR",5101,2666
"Newton County, GA",13217,37975
"Newton County, IN",18111,5626
"Newton County, MO",29145,22226
"Newton County, MS",28101,7882
"Newton County, TX",48351,5402
"Nez Perce County, ID",16069,16457
"Niagara County, NY",36063,87978
"Nicholas County, KY",21181,2723
"Nicholas County, WV",54067,9808
"Nicollet County, MN",27103,12864
"Niobrara County, WY",56027,923
"Noble County, IN",18113,18197
"Noble County, OH",39121,5117
"Noble County, OK",40103,4436
"Nobles County, MN",27105,8035
"Nodaway County, MO",29147,8149
"Nolan County, TX",48353,5201
"Nome Census Area, AK",2180,2812
"Norfolk County, MA",25021,266147
"Norfolk city, VA",51710,88370
"Norman County, MN",27107,2778
"North Slope Borough, AK",2185,1984
"Northampton County, NC",37131,8521
"Northampton County, PA",42095,114360
"Northampton County, VA",51131,5106
"Northumberland County, PA",42097,38746
"Northumberland County, VA",51133,5472
"Northwest Arctic Borough, AK",2188,1754
"Norton County, KS",20137,1692
"Norton city, VA",51720,1622
"Nottoway County, VA",51135,5392
"Nowata County, OK",40105,4112
"Noxubee County, MS",28103,3952
"Nuckolls County, NE",31129,1761
"Nueces County, TX",48355,130058
"Nye County, NV",32023,19881
"O'Brien County, IA",19141,6102
"Oakland County, MI",26125,505599
"Obion County, TN",47131,12745
"Ocean County, NJ",34029,226394
"Oceana County, MI",26127,10361
"Ochiltree County, TX",48357,3319
"Oconee County, GA",13219,14126
"Oconee County, SC",45073,32794
"Oconto County, WI",55083,16300
"Ogemaw County, MI",26129,9091
"Oglala Lakota County, SD",46102,2654
"Ogle County, IL",17141,21013
"Oglethorpe County, GA",13221,5632
"Ohio County, IN",18115,2631
"Ohio County, KY",21183,9250
"Ohio County, WV",54069,16358
"Okaloosa County, FL",12091,79226
"Okanogan County, WA",53047,18206
"Okeechobee County, FL",12093,14392
"Okfuskee County, OK",40107,3925
"Oklahoma County, OK",40109,304493
"Okmulgee County, OK",40111,14489
"Oktibbeha County, MS",28105,17913
"Oldham County, KY",21185,21426
"Oldham County, TX",48359,519
"Oliver County, ND",38065,718
"Olmsted County, MN",27109,63597
"Oneida County, ID",16071,1622
"Oneida County, NY",36065,88967
"Oneida County, WI",55085,15551
"Onondaga County, NY",36067,185204
"Onslow County, NC",37133,65163
"Ontario County, NY",36069,44666
"Ontonagon County, MI",26131,2660
"Orange County, CA",6059,1045842
"Orange County, FL",12095,476296
"Orange County, IN",18117,8043
"Orange County, NC",37135,53635
"Orange County, NY",36071,128350
"Orange County, TX",48361,31427
"Orange County, VA",51137,13937
"Orange County, VT",50017,12344
"Orangeburg County, SC",45075,32541
"Oregon County, MO",29149,4205
"Orleans County, NY",36073,16678
"Orleans County, VT",50019,12084
"Orleans Parish, LA",22071,153472
"Orocovis Municipio, PR",72107,6664
"Osage County, KS",20139,6631
"Osage County, MO",29151,5110
"Osage County, OK",40113,18203
"Osborne County, KS",20141,1602
"Osceola County, FL",12097,107722
"Osceola County, IA",19143,2579
"Osceola County, MI",26133,9409
"Oscoda County, MI",26135,3898
"Oswego County, NY",36075,46389
"Otero County, CO",8089,7785
"Otero County, NM",35035,23453
"Otoe County, NE",31131,6470
"Otsego County, MI",26137,9891
"Otsego County, NY",36077,23346
"Ottawa County, KS",20143,2397
"Ottawa County, MI",26139,105214
"Ottawa County, OH",39123,18105
"Ottawa County, OK",40115,11785
"Otter Tail County, MN",27111,24727
"Ouachita County, AR",5103,9290
"Ouachita Parish, LA",22073,55697
"Ouray County, CO",8091,2298
"Outagamie County, WI",55087,74630
"Overton County, TN",47133,9147
"Owen County, IN",18119,8849
"Owen County, KY",21187,3870
"Owsley County, KY",21189,1640
"Owyhee County, ID",16073,4527
"Oxford County, ME",23017,20662
"Ozark County, MO",29153,3861
"Ozaukee County, WI",55089,36217
"Pacific County, WA",53049,9224
"Page County, IA",19145,6229
"Page County, VA",51139,9232
"Palm Beach County, FL",12099,560013
"Palo Alto County, IA",19147,3587
"Palo Pinto County, TX",48363,10064
"Pamlico County, NC",37137,5497
"Panola County, MS",28107,12618
"Panola County, TX",48365,8595
"Park County, CO",8093,6725
"Park County, MT",30067,8186
"Park County, WY",56029,12179
"Parke County, IN",18121,6100
"Parker County, TX",48367,44925
"Parmer County, TX",48369,3246
"Pasco County, FL",12101,211966
"Pasquotank County, NC",37139,14888
"Passaic County, NJ",34031,165435
"Patillas Municipio, PR",72109,6025
"Patrick County, VA",51141,7666
"Paulding County, GA",13223,55065
"Paulding County, OH",39125,7727
"Pawnee County, KS",20145,2363
"Pawnee County, NE",31133,1193
"Pawnee County, OK",40117,6122
"Payette County, ID",16075,9156
"Payne County, OK",40119,30848
"Peach County, GA",13225,10232
"Pearl River County, MS",28109,21100
"Pecos County, TX",48371,4758
"Pembina County, ND",38067,3079
"Pemiscot County, MO",29155,6620
"Pend Oreille County, WA",53051,5990
"Pender County, NC",37141,22812
"Pendleton County, KY",21191,5181
"Pendleton County, WV",54071,3185
"Pennington County, MN",27113,5992
"Pennington County, SD",46103,45055
"Penobscot County, ME",23019,61658
"Peoria County, IL",17143,71341
"Pepin County, WI",55091,3164
"Perkins County, NE",31135,1217
"Perkins County, SD",46105,1273
"Perquimans County, NC",37143,6174
"Perry County, AL",1105,2772
"Perry County, AR",5105,3574
"Perry County, IL",17145,8530
"Perry County, IN",18123,7709
"Perry County, KY",21193,11190
"Perry County, MO",29157,7610
"Perry County, MS",28111,4730
"Perry County, OH",39127,13207
"Perry County, PA",42099,18182
"Perry County, TN",47135,3141
"Pershing County, NV",32027,1856
"Person County, NC",37145,16065
"Petersburg Borough, AK",2195,1121
"Petersburg city, VA",51730,13377
"Petroleum County, MT",30069,199
"Pettis County, MO",29159,15887
"Peñuelas Municipio, PR",72111,6412
"Phelps County, MO",29161,18425
"Phelps County, NE",31137,3967
"Philadelphia County, PA",42101,606545
"Phillips County, AR",5107,7067
"Phillips County, CO",8095,1654
"Phillips County, KS",20147,2317
"Phillips County, MT",30071,1684
"Piatt County, IL",17147,6611
"Pickaway County, OH",39129,19743
"Pickens County, AL",1107,7514
"Pickens County, GA",13227,12145
"Pickens County, SC",45077,49398
"Pickett County, TN",47137,2286
"Pierce County, GA",13229,7028
"Pierce County, ND",38069,1849
"Pierce County, NE",31139,3077
"Pierce County, WA",53053,330121
"Pierce County, WI",55093,15688
"Pike County, AL",1109,10743
"Pike County, AR",5109,4246
"Pike County, GA",13231,6181
"Pike County, IL",17149,6214
"Pike County, IN",18125,5118
"Pike County, KY",21195,25382
"Pike County, MO",29163,6605
"Pike County, MS",28113,14244
"Pike County, OH",39131,10902
"Pike County, PA",42103,22544
"Pima County, AZ",4019,409635
"Pinal County, AZ",4021,146966
"Pine County, MN",27115,10300
"Pinellas County, FL",12103,407875
"Pipestone County, MN",27117,3990
"Piscataquis County, ME",23021,6896
"Pitkin County, CO",8097,7078
"Pitt County, NC",37147,70636
"Pittsburg County, OK",40121,17551
"Pittsylvania County, VA",51143,26295
"Piute County, UT",49031,491
"Placer County, CA",6061,145288
"Plaquemines Parish, LA",22075,9008
"Platte County, MO",29165,39819
"Platte County, NE",31141,13107
"Platte County, WY",56031,4092
"Pleasants County, WV",54073,2819
"Plumas County, CA",6063,8312
"Plymouth County, IA",19149,10277
"Plymouth County, MA",25023,188920
"Pocahontas County, IA",19151,3209
"Pocahontas County, WV",54075,3433
"Poinsett County, AR",5111,9565
"Pointe Coupee Parish, LA",22077,9079
"Polk County, AR",5113,8378
"Polk County, FL",12105,241315
"Polk County, GA",13233,15008
"Polk County, IA",19153,191067
"Polk County, MN",27119,12413
"Polk County, MO",29167,11533
"Polk County, NC",37149,9324
"Polk County, NE",31143,1958
"Polk County, OR",41053,30799
"Polk County, TN",47139,7630
"Polk County, TX",48373,18172
"Polk County, WI",55095,18630
"Ponce Municipio, PR",72113,49965
"Pondera County, MT",30073,1986
"Pontotoc County, MS",28115,10816
"Pontotoc County, OK",40123,14099
"Pope County, AR",5115,22522
"Pope County, IL",17151,1733
"Pope County, MN",27121,5089
"Poquoson city, VA",51735,4552
"Portage County, OH",39133,61976
"Portage County, WI",55097,28907
"Porter County, IN",18127,65384
"Portsmouth city, VA",51740,35921
"Posey County, IN",18129,10190
"Pottawatomie County, KS",20149,9021
"Pottawatomie County, OK",40125,25873
"Pottawattamie County, IA",19155,36660
"Potter County, PA",42105,6367
"Potter County, SD",46107,945
"Potter County, TX",48375,44643
"Powder River County, MT",30075,747
"Powell County, KY",21197,4809
"Powell County, MT",30077,2435
"Power County, ID",16077,2656
"Poweshiek County, IA",19157,7937
"Powhatan County, VA",51145,10467
"Prairie County, AR",5117,3787
"Prairie County, MT",30079,513
"Pratt County, KS",20151,3511
"Preble County, OH",39135,16121
"Prentiss County, MS",28117,8858
"Presidio County, TX",48377,2541
"Presque Isle County, MI",26141,5678
"Preston County, WV",54077,12273
"Price County, WI",55099,6586
"Prince Edward County, VA",51147,7028
"Prince George County, VA",51149,11645
"Prince George's County, MD",24033,311198
"Prince William County, VA",51153,143561
"Prince of Wales-Hyder Census Area, AK",2198,2430
"Providence County, RI",44007,236089
"Prowers County, CO",8099,4923
"Pueblo County, CO",8101,64538
"Pulaski County, AR",5119,158866
"Pulaski County, GA",13235,3684
"Pulaski County, IL",17153,1987
"Pulaski County, IN",18131,5160
"Pulaski County, KY",21199,25215
"Pulaski County, MO",29169,14810
"Pulaski County, VA",51155,14401
"Pushmataha County, OK",40127,4281
"Putnam County, FL",12107,29128
"Putnam County, GA",13237,9086
"Putnam County, IL",17155,2367
"Putnam County, IN",18133,13867
"Putnam County, MO",29171,1473
"Putnam County, NY",36079,34967
"Putnam County, OH",39137,13353
"Putnam County, TN",47141,32184
"Putnam County, WV",54079,21456
"Quay County, NM",35037,2844
"Quebradillas Municipio, PR",72115,7567
"Queen Anne's County, MD",24035,18808
"Queens County, NY",36081,772845
"Quitman County, GA",13239,805
"Quitman County, MS",28119,3029
"Rabun County, GA",13241,6497
"Racine County, WI",55101,76768
"Radford city, VA",51750,5524
"Rains County, TX",48379,4422
"Raleigh County, WV",54081,30944
"Ralls County, MO",29173,4026
"Ramsey County, MN",27123,208858
"Ramsey County, ND",38071,4800
"Randall County, TX",48381,49315
"Randolph County, AL",1111,8565
"Randolph County, AR",5121,7423
"Randolph County, GA",13243,2452
"Randolph County, IL",17157,11862
"Randolph County, IN",18135,10106
"Randolph County, MO",29175,8532
"Randolph County, NC",37151,57336
"Randolph County, WV",54083,10864
"Rankin County, MS",28121,56978
"Ransom County, ND",38073,2374
"Rapides Parish, LA",22079,48179
"Rappahannock County, VA",51157,2709
"Ravalli County, MT",30081,17602
"Rawlins County, KS",20153,1147
"Ray County, MO",29177,8948
"Reagan County, TX",48383,1037
"Real County, TX",48385,1112
"Red Lake County, MN",27125,1692
"Red River County, TX",48387,4877
"Red River Parish, LA",22081,3286
"Red Willow County, NE",31145,4388
"Redwood County, MN",27127,6222
"Reeves County, TX",48389,3502
"Refugio County, TX",48391,2425
"Reno County, KS",20155,24808
"Rensselaer County, NY",36083,65344
"Renville County, MN",27129,5986
"Renville County, ND",38075,950
"Republic County, KS",20157,2213
"Reynolds County, MO",29179,2575
"Rhea County, TN",47143,12057
"Rice County, KS",20159,3891
"Rice County, MN",27131,23171
"Rich County, UT",49033,618
"Richardson County, NE",31147,3684
"Richland County, IL",17159,6363
"Richland County, MT",30083,4570
"Richland County, ND",38077,6822
"Richland County, OH",39139,47815
"Richland County, SC",45079,154226
"Richland County, WI",55103,7591
"Richland Parish, LA",22083,7283
"Richmond County, GA",13245,71286
"Richmond County, NC",37153,18336
"Richmond County, NY",36085,165549
"Richmond County, VA",51159,3257
"Richmond city, VA",51760,91339
"Riley County, KS",20161,26558
"Rincón Municipio, PR",72117,4802
"Ringgold County, IA",19159,1956
"Rio Arriba County, NM",35039,11821
"Rio Blanco County, CO",8103,2245
"Rio Grande County, CO",8105,4722
"Ripley County, IN",18137,11112
"Ripley County, MO",29181,4898
"Ritchie County, WV",54085,4010
"Riverside County, CA",6065,732719
"Roane County, TN",47145,20303
"Roane County, WV",54087,5442
"Roanoke County, VA",51161,38167
"Roanoke city, VA",51770,41363
"Roberts County, SD",46109,3976
"Roberts County, TX",48393,274
"Robertson County, KY",21201,839
"Robertson County, TN",47147,26013
"Robertson County, TX",48395,6569
"Robeson County, NC",37155,46002
"Rock County, MN",27133,3949
"Rock County, NE",31149,576
"Rock County, WI",55105,64701
"Rock Island County, IL",17161,59894
"Rockbridge County, VA",51163,8970
"Rockcastle County, KY",21203,6475
"Rockdale County, GA",13247,31287
"Rockingham County, NC",37157,36963
"Rockingham County, NH",33015,122038
"Rockingham County, VA",51165,31816
"Rockland County, NY",36087,100368
"Rockwall County, TX",48397,34951
"Roger Mills County, OK",40129,1389
"Rogers County, OK",40131,35476
"Rolette County, ND",38079,4511
"Rooks County, KS",20163,2100
"Roosevelt County, MT",30085,3207
"Roosevelt County, NM",35041,6721
"Roscommon County, MI",26143,10699
"Roseau County, MN",27135,5785
"Rosebud County, MT",30087,3066
"Ross County, OH",39141,28683
"Routt County, CO",8107,9676
"Rowan County, KY",21205,8505
"Rowan County, NC",37159,52935
"Runnels County, TX",48399,3919
"Rush County, IN",18139,6481
"Rush County, KS",20165,1371
"Rusk County, TX",48401,18150
"Rusk County, WI",55107,6454
"Russell County, AL",1113,23394
"Russell County, KS",20167,2847
"Russell County, KY",21207,6926
"Russell County, VA",51167,10652
"Rutherford County, NC",37161,26536
"Rutherford County, TN",47149,116930
"Rutland County, VT",50021,25038
"Río Grande Municipio, PR",72119,14891
"Sabana Grande Municipio, PR",72121,7296
"Sabine County, TX",48403,4516
"Sabine Parish, LA",22085,9195
"Sac County, IA",19161,4284
"Sacramento County, CA",6067,545694
"Sagadahoc County, ME",23023,16223
"Saginaw County, MI",26145,78815
"Saguache County, CO",8109,2905
"Salem County, NJ",34033,23565
"Salem city, VA",51775,9711
"Salinas Municipio, PR",72123,9597
"Saline County, AR",5125,44808
"Saline County, IL",17165,9942
"Saline County, KS",20169,21694
"Saline County, MO",29195,8084
"Saline County, NE",31151,5125
"Salt Lake County, UT",49035,384189
"Saluda County, SC",45081,7168
"Sampson County, NC",37163,23409
"San Augustine County, TX",48405,3779
"San Benito County, CA",6069,18321
"San Bernardino County, CA",6071,640787
"San Diego County, CA",6073,1134293
"San Francisco County, CA",6075,364399
"San Germán Municipio, PR",72125,11291
"San Jacinto County, TX",48407,9999
"San Joaquin County, CA",6077,231213
"San Juan County, CO",8111,273
"San Juan County, NM",35045,44540
"San Juan County, UT",49037,4363
"San Juan County, WA",53055,8453
"San Juan Municipio, PR",72127,140337
